1, 4
2, 8
3, 5
4, 3
5, 8
6, 6
7, 8
8, 8
9, 2
10, 8
11, 6
12, 5
13, 10
14, 1
15, 8
16, 4
17, 7
18, 10
19, 4
20, 2
21, 4
22, 7
23, 7
24, 4
25, 5
26, 7
27, 2
28, 1
29, 1
30, 1
31, 7
32, 1
33, 5
34, 5
35, 10
36, 5
37, 7
38, 4
39, 7
40, 8
41, 4
42, 3
43, 8
44, 9
45, 3
46, 10
47, 7
48, 7
49, 7
50, 5
51, 5
52, 5
53, 7
54, 1
55, 1
56, 5
57, 4
58, 6
59, 8
60, 8
61, 9
62, 7
63, 6
64, 6
65, 1
66, 3
67, 6
68, 10
69, 2
70, 9
71, 7
72, 4
73, 1
74, 4
75, 7
76, 10
77, 3
78, 1
79, 4
80, 2
81, 8
82, 7
83, 3
84, 9
85, 3
86, 5
87, 1
88, 10
89, 4
90, 7
91, 1
92, 4
93, 3
94, 10
95, 1
96, 10
97, 6
98, 10
99, 8
100, 1
101, 5
102, 1
103, 2
104, 1
105, 8
106, 9
107, 7
108, 9
109, 3
110, 5
111, 1
112, 9
113, 1
114, 10
115, 4
116, 9
117, 9
118, 2
119, 1
120, 6
121, 3
122, 7
123, 4
124, 1
125, 9
126, 6
127, 10
128, 2
129, 8
