1, 7
2, 9
3, 8
4, 6
5, 5
6, 7
7, 8
8, 1
9, 3
10, 10
11, 3
12, 5
13, 1
14, 4
15, 6
16, 1
17, 10
18, 5
19, 9
20, 2
21, 9
22, 10
23, 5
24, 3
25, 6
26, 1
27, 3
28, 9
29, 7
30, 3
31, 7
32, 8
33, 8
34, 1
35, 7
36, 2
37, 2
38, 8
39, 7
40, 2
41, 9
42, 10
43, 7
44, 5
45, 1
46, 5
47, 3
48, 2
49, 8
50, 10
51, 1
52, 8
53, 1
54, 1
55, 2
56, 8
57, 7
58, 1
59, 9
60, 9
61, 8
62, 5
63, 8
64, 6
65, 10
66, 5
67, 7
68, 8
69, 8
70, 10
71, 8
72, 10
73, 4
74, 9
75, 5
